,,Sala,-additional
Davon Reed,DEN,$1902133,reedda01
KZ Okpala,SAC,$1902133,okpalkz01
Théo Maledon,HOU,$1900000,maledth01
Svi Mykhailiuk,TOR,$3714810,mykhasv01
Thanasis Antetokounmpo,MIL,$1878720,antetth01
Keita Bates-Diop,SAS,$1878720,bateske01
Moritz Wagner,ORL,$1878720,wagnemo01
Wenyen Gabriel,LAL,$1878720,gabriwe01
Oshae Brissett,IND,$1846738,brissos01
Anthony Gill,WAS,$1836090,gillan01
Taj Gibson,WAS,$1836090,gibsota01
Juancho Hernangómez,TOR,$1836090,hernaju01
Gorgui Dieng,SAS,$1836090,dienggo01
Drew Eubanks,POR,$1836090,eubandr01
Bismack Biyombo,PHO,$1836090,biyombi01
Josh Okogie,PHO,$1836090,okogijo01
Damion Lee,PHO,$1836090,leeda03
Isaiah Joe,OKC,$1836090,joeis01
Bryn Forbes,MIN,$1836090,forbebr01
Serge Ibaka,MIL,$1836090,ibakase01
Wesley Matthews,MIL,$1836090,matthwe02
Udonis Haslem,MIA,$1836090,hasleud01
Dennis Schröder,LAL,$1836090,schrode01
Thomas Bryant,LAL,$1836090,bryanth01
Troy Brown Jr.,LAL,$1836090,browntr01
Juan Toscano-Anderson,LAL,$1836090,toscaju01
Andre Iguodala,GSW,$1836090,iguodan01
JaMychal Green,GSW,$10036090,greenja01
Rodney McGruder,DET,$1836090,mcgruro01
DeAndre Jordan,DEN,$9663997,jordade01
Theo Pinson,DAL,$1836090,pinsoth01
Robin Lopez,CLE,$1836090,lopezro01
Raul Neto,CLE,$1836090,netora01
Goran Dragić,CHI,$1836090,dragigo01
T.J. Warren,BRK,$1836090,warretj01
Frank Kaminsky,ATL,$1836090,kaminfr01
Aaron Holiday,ATL,$1836090,holidaa01
Austin Rivers,MIN,$1836090,riverau01
Nathan Knight,MIN,$1836090,knighna01
Matthew Dellavedova,SAC,$1836090,dellama01
Ryan Arcidiacono,NYK,$1836090,arcidry01
Svi Mykhailiuk,NYK,$3714810,mykhasv01
James Johnson,IND,$1836090,johnsja01
Facundo Campazzo,DAL,$1836090,campafa01
Dennis Smith Jr.,CHO,$1836090,smithde03
Yuta Watanabe,BRK,$1836090,watanyu01
Markieff Morris,BRK,$1836090,morrima02
Blake Griffin,BOS,$1836090,griffbl01
Justin Jackson,BOS,$1836090,jacksju01
Noah Vonleh,BOS,$1836090,vonleno01
Javonte Green,CHI,$1815677,greenja02
Max Strus,MIA,$1815677,strusma01
Gabe Vincent,MIA,$1815677,vincega01
Herbert Jones,NOP,$1785000,joneshe01
Vernon Carey Jr.,WAS,$1782621,careyve01
Xavier Tillman Sr.,MEM,$1782621,tillmxa01
Tyrell Terry,DAL,$1782621,terryty01
Tre Jones,SAS,$1782621,jonestr01
Paul Reed,PHI,$1782621,reedpa01
Naji Marshall,NOP,$1782621,marshna01
Kenyon Martin Jr.,HOU,$1782621,martike04
Lamar Stevens,CLE,$1782621,stevela01
Nick Richards,CHO,$1782621,richani01
Saben Lee,UTA,$1752638,leesa01
Haywood Highsmith,MIA,$1752638,highsha01
Omer Yurtseven,MIA,$1752638,yurtsom01
Jericho Sims,NYK,$1639842,simsje01
Sam Hauser,BOS,$1637966,hausesa01
Kessler Edwards,BRK,$1637966,edwarke02
Justin Champagnie,TOR,$1637966,champju01
Matt Ryan,LAL,$1637966,ryanma01
Mac McClung,GSW,$1637966,mccluma01
Isaiah Todd,WAS,$1575000,toddis01
Trendon Watford,POR,$1563518,watfotr01
Jared Butler,UTA,$1563518,butleja02
Greg Brown III,POR,$1563518,browngr01
Miles McBride,NYK,$1563518,mcbrimi01
Jose Alvarado,NOP,$1563518,alvarjo01
Jason Preston,LAC,$1563518,prestja01
Brandon Boston Jr.,LAC,$1563518,bostobr01
Daishen Nix,HOU,$1563518,nixda01
Isaiah Livers,DET,$1563518,liveris01
JT Thor,CHO,$1563518,thorjt01
Marko Simonovic,CHI,$1563518,simonma01
Vit Krejci,ATL,$1563518,krejcvi01
Terry Taylor,IND,$1563518,taylote01
Jock Landale,PHO,$1563518,landajo01
Dalano Banton,TOR,$1563518,bantoda01
Aaron Wiggins,OKC,$1563518,wiggiaa01
Austin Reaves,LAL,$1563518,reaveau01
Ayo Dosunmu,CHI,$1563518,dosunay01
Christian Koloko,TOR,$1500000,kolokch01
Eric Bledsoe,POR,$1300000,bledser01
Kennedy Chandler,MEM,$1200000,chandke01
Jaden Hardy,DAL,$1017781,hardyja02
Josh Minott,MIN,$1017781,minotjo01
Max Christie,LAL,$1017781,chrisma02
Ryan Rollins,GSW,$1017781,rolliry01
Jabari Walker,POR,$1017781,walkeja01
Chima Moneke,SAC,$1017781,monekch01
Tyrese Martin,ATL,$1017781,martity01
Kyle Singler,OKC,$999200,singlky01
Nik Stauskas,IND,$702311,stausni01
Juwan Morgan,IND,$576230,morgaju01
Malik Fitts,IND,$555217,fittsma01
D.J. Augustin,HOU,$333333,augusdj01
Trevelin Queen,PHI,$330000,queentr01
Didi Louzada,POR,$268032,louzama01
D.J. Wilson,TOR,$250000,wilsodj01
Wendell Moore Jr.,MIN,$230620,moorewe01
Sam Merrill,SAC,$150000,merrisa01
Ish Wainright,TOR,,wainris01
Troy Williams,HOU,$122741,willitr02
Demetrius Jackson,BOS,$92857,jacksde01
Charles Bassey,PHI,$74742,bassech01
